제목,네티즌점수,네티즌평가수,전문가평점평균,전문가수
봉오동 전투,7.87,22430,5.3,10
브링 더 소울 : 더 무비,9.17,1779,,0
안녕, 티라노: 영원히, 함께,6.94,247,6.0,4
암전,4.49,1196,5.25,4
유열의 음악앨범,6.18,8631,7.125,8
극장판 반지의 비밀일기,9.05,81,7.0,1
극장판 헬로카봇 : 달나라를 구해줘!,7.27,546,5.0,2
나쁜 녀석들: 더 무비,6.02,8350,4.833,6
양자물리학,8.24,5815,4.8,5
장사리 : 잊혀진 영웅들,8.28,6185,5.0,3
타짜: 원 아이드 잭,5.19,11236,5.429,7
힘을 내요, 미스터 리,7.68,5535,5.1667,6
82년생 김지영,6.55,47541,6.8,10
가장 보통의 연애,7.59,6581,6.333,6
두번할까요,4.80,1311,3.5,2
버티고,6.37,393,5.143,7
판소리 복서,6.06,1299,5.8,5
퍼펙트맨,7.83,5094,5.0,3
나를 찾아줘,6.58,2797,5.667,6
블랙머니,8.36,5694,6.0,6
신의 한 수: 귀수편,7.60,7507,5.0,2
얼굴없는 보스,3.24,1129,2.5,2
윤희에게,8.87,2374,6.714,7
감쪽같은 그녀,7.66,1963,5.0,4
백두산,5.57,27698,5.667,9
시동,7.40,8964,6.0,9
신비아파트 극장판 하늘도깨비 대 요르문간드,8.14,276,6.0,1
아내를 죽였다,4.96,1412,,0
천문: 하늘에 묻는다,8.83,11429,6.7,10
