movie_id,title,original_title,original_language,release_date,runtime,budget,revenue,vote_average,vote_count,popularity,genres,production_companies,production_countries,release_year,release_month,audience_total
20113636,네버엔딩 스토리,Never Ending Story,ko,2012-01-18,114,,2008593500.0,,,,"[""코미디"", ""멜로/로맨스""]","[""아일랜드픽처스(주)"", ""(주)화앤담이엔티"", ""(주)화앤담이엔티"", ""(주)나이너스엔터테인먼트""]","[""KR""]",2012,1,269605.0
20113743,댄싱퀸,Dancing Queen,ko,2012-01-18,124,,30066411000.0,,,,"[""코미디"", ""드라마""]","[""(주)제이케이필름"", ""(주)씨제이이엔엠"", ""(주)씨제이이엔엠"", ""(주)씨제이이엔엠"", ""비엠씨영화전문투자조합"", ""컴퍼니케이파트너스 콘텐츠 전문투자조합"", ""그린손해보험(주)"", ""이수창업투자(주)"", ""소빅창업투자(주)"", ""CJ창업투자(주)"", ""(주)제일저축은행"", ""씨제이엔터테인먼트""]","[""KR""]",2012,1,4048125.0
20113535,부러진 화살,Unbowed,ko,2012-01-18,100,,25767168500.0,,,,"[""드라마""]","[""(주)아우라픽처스"", ""(주)넥스트엔터테인먼트월드(NEW)"", ""(주)아우라픽처스"", ""(주)화인컷"", ""(주)스타이스트디지탈랩""]","[""KR""]",2012,1,3436171.0
20113671,원더풀 라디오,Love On-Air,ko,2012-01-05,120,,6786842500.0,,,,"[""드라마"", ""멜로/로맨스""]","[""(주)영화사아이비젼"", ""(주)대명문화공장"", ""(주)쇼박스"", ""(주)쇼박스"", ""CJ창업투자(주)"", ""미시간벤처캐피탈(주)"", ""(주)아시아인베스트먼트"", ""제미니투자(주)"", ""(주)쇼박스"", ""(주)스타이스트디지탈랩"", ""웨이브랩 에스티디""]","[""KR""]",2012,1,921887.0
20100215,점박이:한반도의 공룡3D,Speckles: The Tarbosaurus,ko,2012-01-26,88,,8978200000.0,,,,"[""애니메이션"", ""어드벤처"", ""액션""]","[""(주)드림써치C&C"", ""한국교육방송공사 EBS"", ""올리브스튜디오"", ""(주)씨제이이엔엠"", ""(주)드림써치C&C"", ""한국교육방송공사 EBS"", ""올리브스튜디오"", ""(주)씨제이이엔엠"", ""스톤브릿지캐피탈(주)"", ""씨제이엔터테인먼트""]","[""KR""]",2012,1,967168.0
20113811,코알라 키드 : 영웅의 탄생,The Outback,ko,2012-01-12,85,,633780000.0,,,,"[""애니메이션""]","[""㈜디지아트프로덕션"", ""더 애니메이션 픽쳐 컴퍼니"", ""롯데쇼핑㈜롯데엔터테인먼트"", ""롯데쇼핑㈜롯데엔터테인먼트"", ""㈜디지아트프로덕션"", ""더 애니메이션 픽쳐 컴퍼니""]","[""KR""]",2012,1,88594.0
20113951,페이스메이커,PaceMaker,ko,2012-01-18,124,,3204706000.0,,,,"[""드라마""]","[""(주)드림캡쳐"", ""(주)에이트볼픽쳐스 "", ""(주)필통픽쳐스"", ""(주)시너지하우스 (시너지)"", ""롯데쇼핑㈜롯데엔터테인먼트"", ""롯데쇼핑㈜롯데엔터테인먼트"", ""(주)시너지하우스 (시너지)"", ""이수창업투자(주)"", ""(주)벤티지홀딩스"", ""롯데쇼핑㈜롯데엔터테인먼트"", ""㈜블루캡"", ""디지털 아이디어"", ""빔필름 (엠버에이치엠 국내법인)""]","[""KR""]",2012,1,433056.0
20113916,러브픽션,Love Fiction,ko,2012-02-29,121,,13145636000.0,,,,"[""멜로/로맨스"", ""코미디""]","[""(주)삼거리픽쳐스"", ""(주)판타지오"", ""(주)넥스트엔터테인먼트월드(NEW)"", ""(주)넥스트엔터테인먼트월드(NEW)"", ""이수창업투자(주)"", ""(유)동문파트너즈"", ""캐피탈원(주)"", ""엠벤처투자(주)"", ""(주)콘텐츠판다"", ""(주)스타이스트디지탈랩""]","[""KR""]",2012,2,1718634.0
20113557,범죄와의 전쟁: 나쁜놈들 전성시대,Nameless Gangster : Rules of the Time,ko,2012-02-02,133,,36258474000.0,,,,"[""범죄"", ""드라마""]","[""(주)팔레트픽처스"", ""(주)쇼박스"", ""(주)쇼박스"", ""(주)쇼박스"", ""(주)쇼박스"", ""㈜블루캡"", ""제론사운드"", ""디지털 아이디어""]","[""KR""]",2012,2,4682529.0
20113643,파파,Papa,ko,2012-02-01,116,,3864042000.0,,,,"[""가족"", ""코미디""]","[""상상필름(주)"", ""롯데쇼핑㈜롯데엔터테인먼트"", ""롯데쇼핑㈜롯데엔터테인먼트"", ""롯데쇼핑㈜롯데엔터테인먼트""]","[""KR""]",2012,2,566746.0
