movie_id,title,original_title,release_date,budget,revenue,vote_average,runtime,release_year,release_month,director_id,director_original_name,cast_ids,cast_original_names
318541,워킹걸,워킹걸,2015-01-07,28600000,998000,5.7,112,2015,1,112018,Jung Bum-shik,556435|1149923|25003|573791|980225|1257601|573794|1349163|240861|2286203,조여정|클라라|김태우|김보연|라미란|고경표|배성우|오나라|めぐり|이규호
346646,베테랑,베테랑,2015-08-05,7528230,87970000,6.927,123,2015,8,86325,류승완,68903|572225|84996|77188|1692997|1856377|1255409|112785|1044800|87090,황정민|유아인|유해진|오달수|장윤주|오대환|김시후|정웅인|정만식|천호진
363579,밀정,밀정,2016-09-07,9620000,53165427,7.2,140,2016,9,69081,김지운,20738|150903|1010877|58665|1436248|1335825|25002|93999|1388365|1375944,송강호|공유|한지민|鶴見辰吾|Um Tae-goo|신성록|이병헌|박희순|허성태|김동영
390497,터널,터널,2016-08-10,1000000,52444295,7.303,126,2016,8,1135240,김성훈,75913|21688|77188|578838|939137|17127|2159391|93252|1128004|587676,하정우|배두나|오달수|신정근|남지현|정석용|Lee Han-seo|김해숙|유승목|박혁권
396535,부산행,부산행,2016-07-20,8500000,87547518,7.754,118,2016,7,939147,연상호,150903|1278162|127720|1024395|1255881|1042232|1347175|1351055|96663|1418581,공유|김수안|정유미|마동석|최우식|안소희|김의성|예수정|박명신|최귀화
397567,신과함께-죄와 벌,신과함께-죄와 벌,2017-12-20,18300000,125983972,8.07,139,2017,12,84969,김용화,75913|63442|150125|1128106|73249|118976|1351055|77188|1004565|1520280,하정우|차태현|주지훈|김향기|이정재|김동욱|예수정|오달수|임원희|성유빈
407887,인천상륙작전,인천상륙작전,2016-07-27,12700000,49196532,5.9,110,2016,7,78866,John H. Lee,73249|3896|86330|227430|84854|83221|85572|139493|496937|9629,이정재|Liam Neeson|이범수|진세연|정준호|김선아|추성훈|박성웅|김영애|Jon Gries
429450,판도라,판도라,2016-12-07,13938145,30169000,7.547,136,2016,12,240802,Park Jung-woo,110388|1719942|97024|231476|496937|96484|1077269|2273295|1330423|1128004,김남길|김주현|김명민|이경영|김영애|정진영|문정희|Bae Gang-Yoo|김대명|유승목
434119,공조,공조,2017-01-18,8520000,56100000,6.851,125,2017,1,1863287,김성훈,544107|84996|123766|93996|1418580|1252045|123824|223348|1204991|20264,현빈|유해진|김주혁|장영남|이동휘|윤아|공정환|이해영|Park Min-ha|전국환
436391,군함도,군함도,2017-07-26,21000000,46183383,7.159,132,2017,7,86325,류승완,68903|932821|150698|1244822|1278162|573792|2463467|1830800|1669141|231476,황정민|소지섭|송중기|이정현|김수안|김민재|김중희|김인우|신승환|이경영
437068,택시운전사,택시운전사,2017-08-02,12820005,81927980,8.058,137,2017,8,148747,장훈,20738|3491|84996|1530733|587676|1418581|2101538|3592921|1988030|1436248,송강호|Thomas Kretschmann|유해진|류준열|박혁권|최귀화|차순배|신담수|류성현|Um Tae-goo
437103,1987,1987,2017-12-27,12308000,49380115,8.117,129,2017,12,68905,장준환,75912|75913|84996|1537768|93999|1046863|85008|1207629|83014|240948,김윤석|하정우|유해진|김태리|박희순|이희준|설경구|여진구|강동원|문성근
437109,악녀,악녀,2017-06-08,125000,8737458,6.909,123,2017,6,548646,정병길,1059584|25004|1254579|127706|1080933|1826606|1171951|138527|1358060|1873654,김옥빈|신하균|성준|김서형|조은지|Lee Seung-joo|정해균|박철민|Son Min-ji|Min Ye-ji
479718,범죄도시,범죄도시,2017-10-03,5900000,52946454,7.679,121,2017,10,1902848,강윤성,1024395|1257592|566375|1418581|1299473|1989290|2467107|1332468|1953453|2159394,마동석|윤계상|조재윤|최귀화|임형준|진선규|홍기준|허동원|하준|김성규
486589,레드슈즈,레드슈즈,2019-07-25,20000000,10054356,7.7,92,2019,7,1922138,홍성호,4567202|1087166|4819659|3312961|2539573|4161981|2235083|4819653|2848895|4819655,안소이|신용우|전진아|정재헌|최한|Kwon Sung-hyuk|윤세웅|유호한|김명준|전광주
491584,버닝,버닝,2018-05-17,7280000,6591038,7.383,148,2018,5,96657,이창동,572225|215055|1937533|2043067|1703282|240948|1107744|2133919|2133920|2133921,유아인|Steven Yeun|전종서|김수경|최승호|문성근|민복기|Ban Hye-ra|Cha Mi-kyung|이봉련
496243,기생충,기생충,2019-05-30,11363000,257591776,8.498,131,2019,5,21684,봉준호,20738|115290|556435|1255881|1442583|1572354|2158882|1694435|1418762|2306987,송강호|이선균|조여정|최우식|박소담|이정은|장혜진|박명훈|정지소|정현준
517991,공작,공작,2018-08-08,17000000,3175,7.389,137,2018,8,1024391,윤종빈,68903|141548|138336|150125|2386668|1287909|64454|147852|2386669|139493,황정민|이성민|조진웅|주지훈|정소리|김홍파|기주봉|김응수|Chae Yong|박성웅
518068,신과함께-인과 연,신과함께-인과 연,2018-08-01,18300000,112790210,8.068,141,2018,8,84969,김용화,75913|150125|1128106|1024395|118976|73249|1203792|1004565|1299277|2097275,하정우|주지훈|김향기|마동석|김동욱|이정재|조한철|임원희|남일우|정지훈
530254,마녀,마녀,2018-06-27,5500000,24340302,7.894,125,2018,6,557736,박훈정,2053219|1294946|93999|1255881|1787992|572227|146861|1717332|77182|1522159,김다미|조민수|박희순|최우식|고민시|최정우|오미희|정다은|김병옥|이주원
