movie_id,title,original_title,original_language,release_date,runtime,budget,revenue,vote_average,vote_count,popularity,genres,production_companies,production_countries,release_year,release_month,roi,keyword_name
518068,신과함께-인과 연,신과함께-인과 연,ko,2018-08-01,141,18300000,112790210,8.068,700,4.6059,"['액션', '모험', '판타지', '스릴러']","['Lotte Entertainment', 'Dexter Studios', 'Realies Pictures', 'Union Investment Partners', 'Korean Film Council', 'Art Service', 'Alpha Pictures']",['KR'],2018,8,5.1633994535519125,myth
518068,신과함께-인과 연,신과함께-인과 연,ko,2018-08-01,141,18300000,112790210,8.068,700,4.6059,"['액션', '모험', '판타지', '스릴러']","['Lotte Entertainment', 'Dexter Studios', 'Realies Pictures', 'Union Investment Partners', 'Korean Film Council', 'Art Service', 'Alpha Pictures']",['KR'],2018,8,5.1633994535519125,goryeo dynasty
518068,신과함께-인과 연,신과함께-인과 연,ko,2018-08-01,141,18300000,112790210,8.068,700,4.6059,"['액션', '모험', '판타지', '스릴러']","['Lotte Entertainment', 'Dexter Studios', 'Realies Pictures', 'Union Investment Partners', 'Korean Film Council', 'Art Service', 'Alpha Pictures']",['KR'],2018,8,5.1633994535519125,based on webcomic or webtoon
530254,마녀,마녀,ko,2018-06-27,125,5500000,24340302,7.894,654,7.463,"['액션', '미스터리', 'SF']","['Peppermint & Company', 'Warner Bros. Korea', 'Goldmoon Film', 'Finecut', 'Huayi Tencent Entertainment', 'Union Investment Partners']","['HK', 'KR']",2018,6,3.4255094545454545,witch
530254,마녀,마녀,ko,2018-06-27,125,5500000,24340302,7.894,654,7.463,"['액션', '미스터리', 'SF']","['Peppermint & Company', 'Warner Bros. Korea', 'Goldmoon Film', 'Finecut', 'Huayi Tencent Entertainment', 'Union Investment Partners']","['HK', 'KR']",2018,6,3.4255094545454545,amnesia
530254,마녀,마녀,ko,2018-06-27,125,5500000,24340302,7.894,654,7.463,"['액션', '미스터리', 'SF']","['Peppermint & Company', 'Warner Bros. Korea', 'Goldmoon Film', 'Finecut', 'Huayi Tencent Entertainment', 'Union Investment Partners']","['HK', 'KR']",2018,6,3.4255094545454545,supernatural
530254,마녀,마녀,ko,2018-06-27,125,5500000,24340302,7.894,654,7.463,"['액션', '미스터리', 'SF']","['Peppermint & Company', 'Warner Bros. Korea', 'Goldmoon Film', 'Finecut', 'Huayi Tencent Entertainment', 'Union Investment Partners']","['HK', 'KR']",2018,6,3.4255094545454545,psychological thriller
530254,마녀,마녀,ko,2018-06-27,125,5500000,24340302,7.894,654,7.463,"['액션', '미스터리', 'SF']","['Peppermint & Company', 'Warner Bros. Korea', 'Goldmoon Film', 'Finecut', 'Huayi Tencent Entertainment', 'Union Investment Partners']","['HK', 'KR']",2018,6,3.4255094545454545,audition
530254,마녀,마녀,ko,2018-06-27,125,5500000,24340302,7.894,654,7.463,"['액션', '미스터리', 'SF']","['Peppermint & Company', 'Warner Bros. Korea', 'Goldmoon Film', 'Finecut', 'Huayi Tencent Entertainment', 'Union Investment Partners']","['HK', 'KR']",2018,6,3.4255094545454545,hidden identity
530254,마녀,마녀,ko,2018-06-27,125,5500000,24340302,7.894,654,7.463,"['액션', '미스터리', 'SF']","['Peppermint & Company', 'Warner Bros. Korea', 'Goldmoon Film', 'Finecut', 'Huayi Tencent Entertainment', 'Union Investment Partners']","['HK', 'KR']",2018,6,3.4255094545454545,supernatural power
530254,마녀,마녀,ko,2018-06-27,125,5500000,24340302,7.894,654,7.463,"['액션', '미스터리', 'SF']","['Peppermint & Company', 'Warner Bros. Korea', 'Goldmoon Film', 'Finecut', 'Huayi Tencent Entertainment', 'Union Investment Partners']","['HK', 'KR']",2018,6,3.4255094545454545,dark
530254,마녀,마녀,ko,2018-06-27,125,5500000,24340302,7.894,654,7.463,"['액션', '미스터리', 'SF']","['Peppermint & Company', 'Warner Bros. Korea', 'Goldmoon Film', 'Finecut', 'Huayi Tencent Entertainment', 'Union Investment Partners']","['HK', 'KR']",2018,6,3.4255094545454545,extreme violence
535389,안시성,안시성,ko,2018-09-19,135,13305000,41509280,6.8,173,2.4536,"['전쟁', '역사', '액션']","['Soojak Film', 'Next Entertainment World', 'Studio & New']",['KR'],2018,9,2.119825629462608,siege
535389,안시성,안시성,ko,2018-09-19,135,13305000,41509280,6.8,173,2.4536,"['전쟁', '역사', '액션']","['Soojak Film', 'Next Entertainment World', 'Studio & New']",['KR'],2018,9,2.119825629462608,tang dynasty
535389,안시성,안시성,ko,2018-09-19,135,13305000,41509280,6.8,173,2.4536,"['전쟁', '역사', '액션']","['Soojak Film', 'Next Entertainment World', 'Studio & New']",['KR'],2018,9,2.119825629462608,fortress
535389,안시성,안시성,ko,2018-09-19,135,13305000,41509280,6.8,173,2.4536,"['전쟁', '역사', '액션']","['Soojak Film', 'Next Entertainment World', 'Studio & New']",['KR'],2018,9,2.119825629462608,ancient korea
535389,안시성,안시성,ko,2018-09-19,135,13305000,41509280,6.8,173,2.4536,"['전쟁', '역사', '액션']","['Soojak Film', 'Next Entertainment World', 'Studio & New']",['KR'],2018,9,2.119825629462608,chinese invasion of korea
535389,안시성,안시성,ko,2018-09-19,135,13305000,41509280,6.8,173,2.4536,"['전쟁', '역사', '액션']","['Soojak Film', 'Next Entertainment World', 'Studio & New']",['KR'],2018,9,2.119825629462608,"kingdom of goguryeo, korea"
535389,안시성,안시성,ko,2018-09-19,135,13305000,41509280,6.8,173,2.4536,"['전쟁', '역사', '액션']","['Soojak Film', 'Next Entertainment World', 'Studio & New']",['KR'],2018,9,2.119825629462608,"tang dinasty, china"
535389,안시성,안시성,ko,2018-09-19,135,13305000,41509280,6.8,173,2.4536,"['전쟁', '역사', '액션']","['Soojak Film', 'Next Entertainment World', 'Studio & New']",['KR'],2018,9,2.119825629462608,stronghold
535389,안시성,안시성,ko,2018-09-19,135,13305000,41509280,6.8,173,2.4536,"['전쟁', '역사', '액션']","['Soojak Film', 'Next Entertainment World', 'Studio & New']",['KR'],2018,9,2.119825629462608,7th century
544627,암수살인,암수살인,ko,2018-10-03,110,7120949,29433930,6.628,86,1.0853,"['범죄', '드라마']","['Film 295', 'Blossom Pictures', 'Showbox']",['KR'],2018,10,3.133428002363168,murder
544627,암수살인,암수살인,ko,2018-10-03,110,7120949,29433930,6.628,86,1.0853,"['범죄', '드라마']","['Film 295', 'Blossom Pictures', 'Showbox']",['KR'],2018,10,3.133428002363168,serial killer
544627,암수살인,암수살인,ko,2018-10-03,110,7120949,29433930,6.628,86,1.0853,"['범죄', '드라마']","['Film 295', 'Blossom Pictures', 'Showbox']",['KR'],2018,10,3.133428002363168,police detective
544627,암수살인,암수살인,ko,2018-10-03,110,7120949,29433930,6.628,86,1.0853,"['범죄', '드라마']","['Film 295', 'Blossom Pictures', 'Showbox']",['KR'],2018,10,3.133428002363168,murder trial
544627,암수살인,암수살인,ko,2018-10-03,110,7120949,29433930,6.628,86,1.0853,"['범죄', '드라마']","['Film 295', 'Blossom Pictures', 'Showbox']",['KR'],2018,10,3.133428002363168,"busan, south korea"
544627,암수살인,암수살인,ko,2018-10-03,110,7120949,29433930,6.628,86,1.0853,"['범죄', '드라마']","['Film 295', 'Blossom Pictures', 'Showbox']",['KR'],2018,10,3.133428002363168,disappeared corpse
