movie_id,title,original_title,original_language,release_date,runtime,budget,revenue,vote_average,vote_count,popularity,genres,production_companies,production_countries,release_year,release_month,roi
572164,엑시트,엑시트,ko,2019-07-31,103,10892000,69501772,7.652,264,2.0487,"['액션', '코미디']","['Filmmaker R&K', 'filmK', 'CJ Entertainment']",['KR'],2019,7,5.3809926551597504
575718,해치지않아,해치지않아,ko,2020-01-15,117,8100000,8300000,6.221,77,3.9902,"['코미디', '드라마']","['about Film', 'Acemaker Movieworks', 'DCG Plus', 'Finecut']",['KR'],2020,1,0.024691358024691357
581387,백두산,백두산,ko,2019-12-19,128,17700000,61321941,6.816,597,3.0458,"['액션', '모험', '스릴러']","['Dexter Studios', 'CJ Entertainment', 'Perfect Storm Film', 'Dexter Pictures']",['KR'],2019,12,2.4645164406779663
581392,반도,반도,ko,2020-07-15,115,17000000,42698327,6.747,2456,5.1746,"['공포', '액션', '스릴러', '모험']","['Next Entertainment World', 'RedPeter Films', 'Contents Panda', 'Union Investment Partners', 'Michigan Venture Capital']",['KR'],2020,7,1.511666294117647
581526,다만 악에서 구하소서,다만 악에서 구하소서,ko,2020-08-05,108,12000000,34662454,6.88,208,3.4108,"['범죄', '액션', '드라마']","['Hive Media Corp', 'CJ Entertainment']",['KR'],2020,8,1.8885378333333334
581528,악인전,악인전,ko,2019-05-15,112,6500000,25775371,7.848,1310,14.1994,"['범죄', '액션', '스릴러']","['Acemaker Movieworks', 'BA Entertainment', 'Kiwi Media Group', 'B&C CONTENT']",['KR'],2019,5,2.9654416923076923
591120,해적: 도깨비 깃발,해적: 도깨비 깃발,ko,2022-01-26,126,19597380,10247262,6.5,212,1.9713,"['액션', '모험', '코미디', '판타지']","['Oscar 10 Studio', 'ANEW', 'Lotte Entertainment']",['KR'],2022,1,-0.4771106137657177
601796,외계+인 1부,외계+인 1부,ko,2022-07-20,142,24500000,12109608,6.831,483,7.2039,"['SF', '액션', '판타지', '모험']","['Caper Film', 'CJ Entertainment']",['KR'],2022,7,-0.5057302857142857
602463,인질,인질,ko,2021-08-18,93,6144000,13000000,6.9,38,1.2412,['액션'],"['Filmmaker R&K', 'Next Entertainment World', 'The Sam Company', 'Library Pictures International']",['KR'],2021,8,1.1158854166666667
614696,#살아있다,#살아있다,ko,2020-06-24,98,6300000,13416285,7.221,1922,4.1909,"['액션', '공포', 'SF']","['Lotte Entertainment', 'Zip Cinema', 'Perspective Pictures']",['KR'],2020,6,1.1295690476190476
619803,범죄도시 2,범죄도시 2,ko,2022-05-18,106,7600000,101166707,7.29,366,6.0988,"['액션', '범죄', '스릴러', '모험']","['BA Entertainment', 'Hong Film', 'Big Punch Pictures']",['KR'],2022,5,12.311408815789473
623135,싱크홀,싱크홀,ko,2021-08-11,113,11400000,17970000,6.9,147,1.9947,"['코미디', '드라마']","['The Tower Pictures', 'Showbox']",['KR'],2021,8,0.5763157894736842
626872,비상선언,비상선언,ko,2022-08-03,140,18052672,19200000,7.516,394,2.8922,"['액션', '드라마', '스릴러']","['CJeS Studios', 'MAGNUM9', 'Cine Joo', 'Dexter Studios', 'Showbox']",['KR'],2022,8,0.06355446994217809
660360,노량: 죽음의 바다,노량: 죽음의 바다,ko,2023-12-20,152,40000000,34210966,6.4,149,2.6362,"['전쟁', '액션', '역사', '드라마']",['Big Stone Pictures'],['KR'],2023,12,-0.14472585
726139,탈출: 프로젝트 사일런스,탈출: 프로젝트 사일런스,ko,2024-07-11,96,14750000,6283415,7.0,352,7.8078,"['스릴러', '액션', '공포', 'SF', '모험']","['Blaad Studios', 'CJ ENM', 'CJ ENM Studios', 'CJ Entertainment']",['KR'],2024,7,-0.5740057627118644
727340,헌트,헌트,ko,2022-08-10,131,17000000,25994,6.731,187,2.6506,"['액션', '미스터리', '드라마']","['Sanai Pictures', 'Artist Studio']",['KR'],2022,8,-0.9984709411764706
753091,더 문,더 문,ko,2023-08-02,129,20000000,92718,6.547,181,1.6001,"['드라마', '모험', 'SF']","['Blaad Studios', 'CJ ENM Studios', 'NaruN', 'Cinema Plus', 'Dexter Studios', 'CJ Entertainment']",['KR'],2023,8,-0.9953641
793058,하이파이브,하이파이브,ko,2025-05-30,120,14450000,10551515,7.095,21,4.3287,"['SF', '액션', '코미디', '판타지']",['Annapurna Films'],['KR'],2025,5,-0.26979134948096883
799379,늑대사냥,늑대사냥,ko,2022-09-21,122,9000000,20541,6.369,398,4.8181,"['액션', '스릴러', '공포', '범죄']","['The Contents On', 'Contents G', 'Cheum Film', 'Finecut']",['KR'],2022,9,-0.9977176666666666
928713,소설가의 영화,소설가의 영화,ko,2022-04-21,92,71560,382227,6.6,41,0.8457,['드라마'],['Jeonwonsa Film'],['KR'],2022,4,4.341349916154276
