movie_id,title,original_title,release_date,budget,revenue,vote_average,runtime,release_year,release_month,director_id,director_original_name,cast_ids,cast_original_names
348230,설해,설해,2015-01-08,0,0,7.5,108,2015.0,1.0,125729,Kim Jeong-kwon,1244834|1244815|227447|935995|2658919,박해진|이영아|송재희|전무송|Song Chae-rin
348562,권법형사: 차이나타운,권법형사: 차이나타운,2015-07-09,0,0,6.0,83,2015.0,7.0,3071404,Park Sang-Hyeon,1251348|1497216|3031436|1497218|1497219,서준영|Ban So-young|원진|오승윤|Lee Si-yu
348613,쎄시봉,쎄시봉,2015-02-05,0,0,7.0,122,2015.0,2.0,24989,김현석,974270|240145|75912|1304595|1299287,정우|한효주|김윤석|김희애|진구
348689,"협녀, 칼의 기억","협녀, 칼의 기억",2015-08-13,0,0,6.611,121,2015.0,8.0,1044894,박흥식,25002|20737|1067849|1320503|231476,이병헌|전도연|김고은|이준호|이경영
348802,연인들,연인들,2008-12-04,0,0,6.0,78,2008.0,12.0,1066215,김종관,127720|108538|3003903|1254976,정유미|양익준|Kim Ga-eun|홍종현
348875,심도,심도,2011-03-17,0,0,6.2,121,2011.0,3.0,1487492,濱口竜介,1257594|1119730|143364|1830998|9671,김민준|石田法嗣|Soji Arai|米村亮太朗|村上淳
349109,고양이 장례식,고양이 장례식,2015-01-15,0,0,5.2,107,2015.0,1.0,2639251,Lee Jong-hoon,124395|1255414|1257639|3121090,강인|박세영|정겨운|Kim Yoon-ji
349137,화산고래,화산고래,2014-10-23,0,0,0.0,70,2014.0,10.0,1488049,Park Hye-mi,,
349668,표류일기,표류일기,1997-08-09,0,0,0.0,74,1997.0,8.0,3548019,Won Seong-jin,992631|1244799|935995|548070,이나리|이영하|전무송|선우은숙
351254,악인은 살아 있다,악인은 살아 있다,2015-07-16,0,0,5.5,91,2015.0,7.0,1489969,Harry Kim,564844|1287909|1489972|563551|148413,박병은|김홍파|김법래|한수연|Jeon Min-Joon
351510,자매의 방,자매의 방,2015-04-30,0,0,7.5,97,2015.0,4.0,1755041,Han Dong-Ho,1490325|1490326|1490327|1389813|1490328,Song Seo-yool|Joo Yeon-seo|Jeong Neom-chyeo|Kim Do-jin|Kim Bo-hyeon
351523,동창회의 목적,동창회의 목적,2015-08-06,0,0,6.411,100,2015.0,8.0,1708566,Jung Dae-man,1708545|1708547|2114596|2001937|2114597,Jo In-woo|Kim Yoo-yeon|Lee Hyeon-seong|김늘메|Yoo Seung-hyeon
351869,위로공단,위로공단,2015-08-13,0,0,7.8,95,2015.0,8.0,1491033,임흥순,3673546,Kim Jin-sook
352155,쓰리 썸머 나잇,쓰리 썸머 나잇,2015-07-15,0,0,4.5,106,2015.0,7.0,80651,김상진,118976|1004565|1134685|141541|143541,김동욱|임원희|손호준|윤제문|류현경
352584,부곡 하와이,부곡 하와이,2015-04-30,0,0,0.0,85,2015.0,4.0,1492579,Ha Kang-Hun,1492581|96663,류혜린|박명신
353431,26 엄친아,26 엄친아,2009-05-02,0,0,8.0,9,2009.0,5.0,1494494,Paula Un Mi Kim,1494490|932892,Hon Hye Ryon|신연숙
353588,오하이오 삿포로,오하이오 삿포로,2013-01-03,0,0,5.0,40,2013.0,1.0,1494838,Kim Seong-joon,1334564|1494834,김소이|태인호
