movie_id,director_name_ko,cast_names_ko
20060025,오기현,동방우|성현아|성지루|이명진|박철민|이선균|조광희|신현문|황응천|장성백
20050355,김대우,한석규|이범수|김민정|서명석|오달수|김뢰하|안내상|김기현|우현|김병옥
20060017,이시명,김수로|조여정|김은경|이동은|윤신애|백민정|손병호|김인문|최윤경|이민아
20050350,유위강,전지현|정우성|이성재|유순철
20060047,문승욱,조재현|김지수|김시권|이성주|조은덕|박정현|이장욱|기주봉|엄효섭|윤제문
20060046,이석훈,봉태규|진태현|최은주|정대훈|조민주|채현주|유지혁|최수진|김정수|이용규
20050344,이하,문소리|지진희|김상현|이주원|강남미|신지혜|유승목|조성하|김동영|신명환
20060051,이한,권상우|김하늘|이상우|강기화|이영철|이경진|장미인애|최종률|김효경|홍수연
20050308,권남기,안재모|윤은혜|박슬기|현영|정준하|장정희|이진우|박효준|양주호|윤택
20060068,손재곤,박용우|최강희|이광우|조은지|정경호|박준오|김권태|유주희|윤혜진|선우선
20060085,강지은,강혜정|조승우|장민|이진영|조현철|진경|강신일|한수빈|김병주|고태호
20060088,송창수,정재영|장서희|임상운|조귀정|신성민|최종원|박인정|황인규|임준혁|박혜인
20060005,권수경,신현준|임하룡|탁재훈|김수미|김효진|정구영|강낙호|조덕현|지대한|권병길
20060100,최호,류승범|황정민|이수현|김혜정|추자현|민도기|신영주|김훈희|조원식|박정률
20060077,김성중,최지우|조한선|김수미|손현주|조연경|최성국|서영희|이인철|이금희|강민우
20060123,김태용,문소리|엄태웅|고두심|공효진|김혜옥|봉태규|김꽃비|주진모|정유미|이인철
20060112,공정식,이문식|김유미|최여진|이광호|박정학|김뢰하|유태웅|김상호|김형범|변희봉
20060070,원신연,한석규|이문식|오달수|차예련|이병준|김시후|정경호|신현탁|천은정|진용욱
20060093,안판석,차승원|조이진|심혜진|유해진|정효숙|이아현|손범수|김상호|송은주|박지은
20060125,김동욱,김효진|박건형|최원영|정욱|강기재|김호규|김미림|박지혜|박찬훈|정진우
20060134,류승완,정두홍|류승완|이범수|김꽃비|김동영|박지환|정희정|조규철|박대희|정우
20060124,권형진,엄정화|박용우|신의재|김호연|이명숙|최윤선|조미애|김현영|정인기|이승현
20060138,조민호,박중훈|천정명|유인영|강민수|최창민|심재원|안정희|최무성|조진웅|김준배
20060135,이항배,양동근|김성수|한대수|한대수|나윤성|강지훈|김혜민|임종윤|정훈|김형범
20060137,유하,조인성|천호진|이보영|박세환|임정우|남궁민|진구|윤제문|선우은숙|이종혁
20060157,안상훈,송윤아|이동욱|손승진|이승주|이승철|정원중|이종수|김정우|최정우|조도연
20050313,조범진,류승범|유현영|임창정|정미|박한재|최준영|박정민|서혜정|장동혁|김창후
20060164,아소 마나부,호리키타 마키|구로키 메이사|장근석
20060207,정종훈,박은혜|임호|박은혜|송휘욱|백은진|김강식|최건|유성권|최선애|오형진
20060151,봉준호,송강호|변희봉|박해일|배두나|고아성|오달수|박노식|고수희|윤제문|김뢰하
20060208,권호영,김서형|김유정|김현희|성경선|김용대|조영진|이황의|최대훈|김자영
20060160,안병기,고소영|강성진|장희진|박하선|김동욱
20060180,베이커 하워드 E.,김형준|김현중|권희덕|임채무|박정민|박정민|유준|이영기
20060147,강우석,조재현|안성기|차인표|문성근|강신일|이윤주|최종원|최연식|이승철|백일섭
20060214,이환경,임수정|김유정|박길수|정경호|박은수|김광규|허재영|신형철|박태종|배정윤
20060218,이재용,김옥빈|박진우|이켠|김도연|김수미|박용식|정혜영|신규식|이용주|박혜원
20060220,곽지균,지현우|임정은|김송희|정애리|신연철|강래연|박동일|양주호|이정민
20060210,임대웅,서영희|오미희|여현수|유설아|김응수|이동규|이지현|박효준|박재희|강지연
20060224,봉만대,도지원|신세경|이기우|김도연|유다인|조성하|조은미|나윤주|최기용|김인경
20060229,여인광,신애라|박지빈|이재룡|김선영|진구|김효선|김대훈|임광수|함은정|권병길
20060225,박철희,신하균|윤지혜|김민준|김응수|조현철|김병옥|이한위|박길수|박충선|박선우
20060245,권성국,하동훈|이민우|김상중|임하룡|성유경|강민주|손정민|정한비치|정시아|최권
20060222,이해준,류덕환|백윤식|신민정|김윤석|김용훈|송선찬|김현근|안종현|문세윤|박영서
20060191,최종태,이준기|이문식|김지훈|손은경|김소은|조현|이재용|조성하|우현|황인범
20060247,홍상수,고현정|김승우|송선미|김태우|윤동환|이기우|조덕제|오태경
20060257,정용기,신현준|김원희|김수미|탁재훈|이승철|김도연|김홍규|임형준|공형진|정준하
20060272,이형곤,주현|박준규|하정우|박시연|최경원|박철민|이광현|우현|김명선|조승우
20060234,김태경,문성근|주진모|홍석천|현성|김정이|이재철|신승훈|박준석|임기영|장지원
20060231,조범구,박건형|이천희|MC 몽|송요셉|김수현|김종태|오달수|조희봉|강동하|황규택
20060284,이준익,박중훈|안성기|신정근|김현아|강광원|함수연|손덕배|최정윤|황현성|노브레인
20060276,이형선,서영희|박인환|최주봉|이주현|이민정|정경호|강기화|오정세|박현영|정희태
20060242,김해곤,장진영|김승우|권지민|손상준|박영호|최정미|박종원|오윤영|오민아|남성진
20060244,송해성,강동원|이나영|윤여정|이재진|김지영|최정우|강신일|김진희|김부선|조민기
20060291,안진우,김정은|이범수|이창환|변희봉|신정근|우현|박준면|조희봉|전미선|오지혜
20060277,최동훈,조승우|김혜수|백윤식|유해진|이수경|김응수|김상호|김윤석|주진모|김정난
20060288,김대승,유지태|엄지원|김지수|최종원|장석원|임종윤|김경란|조석영|김혜련|노승욱
20060292,장진,정재영|정준호|김상일|주진모|박용민|김광현|김규철|김도희|김성진|임도영
20060279,박은형,유승호|김향기|김동영|안길강|백승도|허창|형성석|김라민|최상훈|임요한
20060236,박기형,정경호|이태성|장희진|손성훈|조진웅|고규필|김두만|조성수|박종후|박준수
20060338,조근식,이병헌|수애|김래혁|오달수|유해진|이세은|정석용|이혜은|최덕문|김중기
20060352,김유성,김사랑|하석진|하동훈|김윤아|이혁재|안선영|박철민|박준규|김홍준|김해곤
20060316,이철하,문근영|김주혁|도지원|이기영|조상건|진구|서현진|심정수|박현진|박형준
20060339,변승욱,한석규|김지수|전소영|소윤성|조영인|김병민|주승환|김금선|민인기|이훈
20060283,김성훈,백윤식|이혜영|봉태규|김도연|이혜영|정우|황석정|우현|안길강|박재현
20060261,이정범,설경구|조한선|이문호|김호연|최경원|김경란|김영옥|나문희|주진모|김경희
20060280,김태윤,김수로|이선균|고은아|김영민|이정우|문단열|강경헌|강동헌|김병옥|김응수
20060353,강석범,김래원|김해숙|허이재|김정태|이준원|한정수|박성웅|김병옥|지대한|정은표
20060369,김상우,엄정화|다니엘 헤니|오미연|김기현|박현영|옥지영|장소연|최진호|손진호|최종률
20060387,김용화,김아중|주진모|김현숙|조아영|이보라|박노식|이한위|이원종|류승수|김지석
20060356,박찬욱,임수정|정지훈|박병은|오달수|김주복|김도연|최희진|이용녀|손영순|유호정
20060396,김석윤,예지원|지현우|나현준|전우형|김영옥|최찬숙|김혜옥|김호준|서승현|김기영
20060373,조의석,김상경|박용우|한보배|장재영|강남미|송민주|정일우|함은정|오정세|이종수
20060357,조진규,이범수|서기|조희봉|최령|심정호|안광남|김도영|민성주|임결향|오지명
20060370,조동오,정우성|김태희|정욱|김광일|신제문|소이현|김민범|백경순|백동현|오세윤
20060407,이상훈,김수미|김영찬|여운계|이문식|김지영|이규한|길해연|이유진|김누리|이철민
20060391,장지량,유덕화|안성기|최시원
20060403,김창래,고소영|조안|오달수|박선혜|유건|이중문|옥지영|박은영|김나연|박대희
20060389,임상수,지진희|염정아|김현아|박혜숙|김유리|이은성|김응수|강규성|조덕현|신승훈
20060408,이성강,손예진|공형진|류덕환|최도영
20060417,김정우,이동욱|현영|이도겸|주석태|이미은|황석정|이종수|손승진|정현|박진호
20060412,허인무,강혜정|정경호|배종옥|이미영|이영유|이원종|황선화|심태윤|강승희|박성현
20070014,윤제균,하지원|임창정|정두홍|강예원|주현|박용주|신윤주|남동협|채백호|최광섭
20070015,박진표,설경구|김남주|강동원|김영철|송영창|고수희|김광규|전혜진|임종윤|김영필
20070021,박성균,권오중|최성국|조원희|신현준|박광남|오승현|정준하|이한위|김웅민|이재석
20070010,최성철,김석훈|김성은|하은설|우현|송요셉|손준형|김뢰하|장태성|김명두|김한규
20060421,장문일,김혜수|윤진서|이종혁|이민기|김도연|황정민|정은표|송정은|홍상아|조선경
20070020,김현수,차태현|임채무|이소연|정석용|이병준|조영호|조용준|박선우|박영서|김기현
20070047,진광교,박용우|남궁민|왕지혜|이주환|유하복|김응수|조경숙|임은혜|이기영|오정세
20070102,임아론,이선|김태균|박상호
20070066,최양일,지진희|강성연|최정우|조성현|오만석|최덕문|김준배|이기영|정만식|김승훈
