제목,네티즌점수,네티즌평가수,전문가평점평균,전문가수
꽃미남 연쇄 테러 사건,4.591,6303,6.0,1
해부학 교실,5.071,1648,5.333333333333333,3
화려한 휴가,7.571,25604,6.25,8
기담,7.501,4137,6.375,8
내 생애 최악의 남자,4.081,918,4.666666666666667,3
두 사람이다,4.511,906,3.5,4
리턴,8.371,3252,6.4,5
만남의 광장,6.001,3,,0
사랑방 선수와 어머니,4.991,1141,,0
죽어도 해피엔딩,7.831,1487,5.0,1
지금 사랑하는 사람과 살고 있습니까?,7.071,2091,5.0,3
권순분여사 납치사건,7.501,2390,5.0,5
두 얼굴의 여친,8.011,3213,4.666666666666667,3
마이 파더,8.251,2514,6.333333333333333,6
사랑,8.331,18,4.666666666666667,3
상사부일체,3.271,2773,,0
어머니는 죽지 않는다,8.021,284,6.0,2
즐거운 인생,9.141,5305,5.4,5
궁녀,5.761,2720,6.0,4
바르게 살자,8.101,5203,4.5,2
어깨 너머의 연인,5.921,559,4.0,1
엠,5.971,4809,6.0,6
펀치레이디,6.081,584,4.0,2
행복,7.931,3817,6.666666666666667,6
세븐 데이즈,9.051,12162,5.666666666666667,3
스카우트,8.181,2216,6.2,5
식객,8.471,7948,4.8,5
열한번째 엄마,8.131,1471,4.25,4
우리 동네,6.821,2126,5.0,2
내 사랑,9.271,2100,6.714285714285714,7
색즉시공 시즌2,8.111,2540,4.666666666666667,3
싸움,6.041,2931,5.666666666666667,3
용의주도 미스신,6.571,2185,4.0,2
기다리다 미쳐,7.351,1530,5.5,4
더 게임,7.421,5653,5.0,3
뜨거운 것이 좋아,6.851,3173,6.0,1
라듸오 데이즈,5.901,987,,0
무방비도시,7.561,4248,4.666666666666667,3
슈퍼맨이었던 사나이,7.521,2812,5.5,4
어린 왕자,9.061,1812,7.25,4
우리 생애 최고의 순간,8.571,8252,,0
원스어폰어타임,7.991,4621,6.0,2
6년째 연애중,7.051,2243,,0
"대한이, 민국씨",6.561,670,4.0,1
마지막 선물,8.321,1005,,0
추격자,9.091,17134,7.5,6
마이 뉴 파트너,7.481,1077,4.0,2
숙명,4.211,3046,5.0,2
허밍,7.311,657,4.0,1
GP 506,7.031,3892,6.0,5
가루지기,4.481,1939,,0
도레미파솔라시도,6.641,3957,,0
비스티 보이즈,7.231,4745,5.875,8
날나리 종부전,5.011,453,2.3333333333333335,3
서울이 보이냐,6.051,174,4.5,2
강철중: 공공의 적 1-1,8.531,6162,5.25,8
걸스카우트,5.901,547,5.571428571428571,7
무림여대생,4.861,943,4.2,5
크로싱,6.321,3949,,0
흑심모녀,7.011,348,4.0,2
눈에는 눈 이에는 이,7.881,3668,5.666666666666667,6
님은 먼 곳에,7.851,4750,6.166666666666667,6
"좋은 놈, 나쁜 놈, 이상한 놈",7.751,19779,7.0,7
다찌마와리,6.821,3267,6.7,10
멋진 하루,8.271,3017,7.2,5
신기전,8.281,7791,5.5,6
영화는 영화다,8.851,6017,6.2,5
울학교 이티,8.981,4915,6.0,2
고고 70,8.121,1727,6.0,6
그 남자의 책 198쪽,7.131,566,4.0,2
너를 잊지 않을 거야,7.721,370,3.5,2
모던보이,6.911,2673,5.571428571428571,7
미쓰 홍당무,6.801,4214,6.875,8
비몽,6.881,927,7.0,4
사과,7.941,606,6.333333333333333,3
아내가 결혼했다,5.081,5371,5.75,8
서양 골동 양과자점 앤티크,8.211,5041,6.428571428571429,7
소년은 울지 않는다,5.771,272,4.5,4
순정만화,7.841,3935,,0
1724 기방난동사건,5.431,1058,4.4,5
과속스캔들,9.201,31303,6.03125,8
달콤한 거짓말,7.561,1507,6.0,3
로맨틱 아일랜드,7.811,883,,0
쌍화점,7.281,10573,5.25,10
워낭소리,8.681,6450,6.75,10
유감스러운 도시,6.041,3038,0.875,2
작전,8.631,4988,5.678571428571429,7
키친,6.431,1583,3.09375,8
핸드폰,7.251,2368,4.611111111111111,9
슬픔보다 더 슬픈 이야기,8.421,5429,4.5,5
실종,7.681,235,7.333333333333333,6
7급 공무원,8.281,8967,3.5,9
그림자 살인,7.381,3999,5.09375,8
똥파리,9.231,7207,6.975,10
박쥐,6.351,13649,4.875,10
우리 집에 왜 왔니,8.331,2168,3.375,4
인사동 스캔들,7.991,3269,5.666666666666667,6
김씨표류기,8.831,7741,7.166666666666667,9
마더,8.201,10488,7.275,10
잘 알지도 못하면서,7.681,802,5.083333333333333,9
거북이 달린다,8.421,5929,5.291666666666667,6
여고괴담 5,4.591,1862,2.925,10
국가대표,9.141,40405,6.21875,8
오감도,2.781,3468,4.208333333333333,6
차우,7.591,6811,4.325,10
킹콩을 들다,9.231,8472,5.775,10
해운대,7.431,25829,5.05,10
10억,6.251,4327,3.4642857142857144,7
불신지옥,7.941,2381,6.361111111111111,9
소피의 연애 매뉴얼,6.461,527,3.0,1
요가학원,4.681,258,3.0,2
나는 갈매기,7.741,715,,0
불꽃처럼 나비처럼,6.951,4918,3.9,10
이태원 살인사건,6.011,2366,5.34375,8
굿모닝 프레지던트,6.711,4992,5.875,8
부산,4.881,1009,4.916666666666667,6
정승필 실종사건,2.901,1980,2.3,5
호우시절,7.471,1992,5.65,10
19-Nineteen,7.851,1645,,0
바람,9.291,9881,4.25,3
백야행,7.941,4156,4.9375,8
집행자,7.491,1677,5.972222222222222,9
천국의 우편배달부,8.611,3502,4.0,1
청담보살,6.051,2971,4.5625,4
펜트하우스 코끼리,4.021,1562,4.0,4
홍길동의 후예,7.781,2594,5.333333333333333,3
시크릿,7.841,99,,0
여배우들,6.871,2714,6.95,10
전우치,8.221,19918,5.1,10
아빠가 여자를 좋아해,7.871,1432,4.791666666666667,6
용서는 없다,7.611,4814,4.125,6
주유소 습격사건 2,4.651,2903,3.75,4
하모니,9.041,13351,2.9583333333333335,6
의형제,8.871,14304,7.55,10
평행이론,6.921,3152,3.75,4
무법자,5.531,1862,3.25,4
비밀애,4.861,907,4.166666666666667,3
아마존의 눈물,8.481,122,5.5,2
육혈포 강도단,7.581,2428,4.458333333333333,6
구르믈 버서난 달처럼,6.841,4971,4.59375,8
반가운 살인자,7.611,3498,4.5,2
베스트셀러,7.591,3319,3.8333333333333335,6
집 나온 남자들,6.441,459,5.291666666666667,6
친정엄마,9.261,2632,4.95,5
폭풍전야,6.731,949,4.25,5
시,8.981,2049,5.95,10
하녀,5.761,5312,4.925,10
맨발의 꿈,9.271,3543,4.928571428571429,7
방자전,7.461,3912,5.55,10
포화속으로,8.231,19465,3.3214285714285716,7
마음이2,8.581,1731,5.166666666666667,3
이끼,7.141,8543,6.388888888888889,9
파괴된 사나이,7.711,5994,4.9375,8
