movie_id,title,original_title,original_language,release_date,runtime,budget,revenue,vote_average,vote_count,popularity,genres,production_companies,production_countries,release_year,release_month,audience_total,director_name_ko,cast_names_ko,vote_average_naver,vote_count_naver,critic_average,critic_count
20050029,엄마,Long & Winding Road,ko,2005-04-07,96.0,,939877000.0,6.90,258,,['드라마'],"[""필름뱅크(주)"", ""영화사청어람(주)"", ""영화사청어람(주)"", ""영화사청어람(주)"", ""영화사청어람(주)"", ""(주)케이티알파"", ""세방현상(주)""]","[""KR""]",2005,4,154807.0,구성주,고두심|김유석|손병호|이혜은|반민정|송진열|박충선,6.90,258,,0
20040772,역전의 명수,The Twins,ko,2005-04-15,122.0,,3208178500.0,6.881,782,,['코미디'],"[""(주)태원엔터테인먼트"", ""(주)시네마서비스"", ""(주)시네마서비스"", ""(주)시네마서비스"", ""씨제이엔터테인먼트"", ""㈜블루캡"", ""세방현상(주)""]","[""KR""]",2005,4,507882.0,박흥식,정준호|윤소이|김혜나|박정수|최상훈|홍성민|신지용|박종진|윤수정|임대수,6.881,782,,0
20050049,주먹이 운다(Crying Fist),Crying Fist,ko,2005-04-01,134.0,,9295771000.0,8.95,3382,,['드라마'],"[""(주)브라보엔터테인먼트"", ""시오필름(주)"", ""쇼이스트(주)"", ""쇼이스트(주)"", ""엠라인디스트리뷰션(주)"", ""세방현상(주)""]","[""KR""]",2005,4,1458473.0,류승완,최민식|류승범|임원희|변희봉|나문희|기주봉|오달수|서혜린|김지훈|이도겸,8.95,3382,,0
20050046,남극일기,Antarctic Journal,ko,2005-05-19,114.0,,5466614000.0,5.561,3093,,['스릴러'],"[""(주)미로비젼"", ""㈜싸이더스픽쳐스"", ""(주)쇼박스"", ""(주)쇼박스"", ""(주)미로비젼"", ""㈜라이브톤"", ""세방현상(주)""]","[""KR""]",2005,5,869512.0,임필성,박희순|유지태|송강호|윤제문|최덕문|박선주|안병근|임성민|오희준,5.561,3093,,0
20050045,"안녕, 형아",Little Brother,ko,2005-05-27,95.0,,5581639000.0,8.301,852,,['드라마'],"[""(주)명필름"", ""(주)시네마서비스"", ""(주)리틀빅픽쳐스"", ""㈜블루캡"", ""데몰리션"", ""세방현상(주)"", ""(사)한국농아인협회"", ""한국시각장애인연합회""]","[""KR""]",2005,5,918547.0,임태형,박원상|최우혁|배종옥|박지빈|양현우|강남미|정혜숙|손선아|김득호|김은자,8.301,852,,0
20050083,연애술사,Love In Magic,ko,2005-05-20,109.0,,6340995000.0,7.141,1047,,"['멜로/로맨스', '코미디']","[""㈜필름지"", ""씨제이엔터테인먼트"", ""㈜필름지""]","[""KR""]",2005,5,1007705.0,천세환,연정훈|박진희|김용훈|최은주|박용식|정혜정|최성욱|하동훈|최원영|심형탁,7.141,1047,,0
20050076,혈의 누,Blood Rain,ko,2005-05-04,119.0,,12197117006.0,8.031,3382,,['스릴러'],"[""(주)싸이더스"", ""(주)좋은영화"", ""(주)시네마서비스"", ""(주)시네마서비스"", ""씨제이엔터테인먼트"", ""창고사람들"", ""세방현상(주)""]","[""KR""]",2005,5,1900798.0,김대승,차승원|박용우|지성|장석원|윤세아|최종원|박철민|유해진|박충선|서상원,8.031,3382,,0
20050064,간 큰 가족,A Bold Family,ko,2005-06-09,102.0,,8109834393.0,6.871,1113,,['코미디'],"[""(주)두사부필름"", ""(주)쇼박스"", ""(주)아이엠픽쳐스"", ""(주)쇼박스"", ""세방현상(주)"", ""(사)한국농아인협회"", ""한국시각장애인연합회""]","[""KR""]",2005,6,1288602.0,조명남,감우성|김수미|김수로|김도연|성지루|신이|이칸희|조용희|김기철|김길라,6.871,1113,,0
20050135,분홍신,The Red Shoes,ko,2005-06-30,103.0,,6639066500.0,5.611,1292,,['공포(호러)'],"[""청년필름(주)"", ""씨네클릭 아시아(팬텀)"", ""아이앤코스모스(주)시네와이즈필름"", ""(주)쇼박스"", ""소빅창업투자(주)"", ""(주)쇼박스"", ""씨네클릭 아시아(팬텀)"", ""씨네클릭 아시아(팬텀)"", ""세방현상(주)"", ""(사)한국농아인협회"", ""한국시각장애인연합회""]","[""KR""]",2005,6,1052445.0,김용균,김혜수|박선혜|이용녀|김성수|박연아|송보경|고수희|이얼|최윤영|윤혜정,5.611,1292,,0
20050110,연애의 목적,Rules Of Dating,ko,2005-06-10,121.0,,9639268390.0,8.121,3612,,"['드라마', '코미디', '멜로/로맨스']","[""(주)싸이더스"", ""씨제이엔터테인먼트"", ""씨제이엔터테인먼트"", ""세방현상(주)"", ""서울영상위원회""]","[""KR""]",2005,6,1493211.0,한재림,강혜정|박해일|이은숙|이대연|박그리나|이현정|박준명|박혜영|김기형|장준영,8.121,3612,,0
