movie_id,title,original_title,original_language,release_date,runtime,budget,revenue,vote_average,vote_count,popularity,genres,production_companies,production_countries,release_year,release_month,audience_total
20050076,혈의 누,Blood Rain,ko,2005-05-04,119.0,,12197117006.0,,,,['스릴러'],"[""(주)싸이더스"", ""(주)좋은영화"", ""(주)시네마서비스"", ""(주)시네마서비스"", ""씨제이엔터테인먼트"", ""창고사람들"", ""세방현상(주)""]","[""KR""]",2005,5,1900798.0
20050064,간 큰 가족,A Bold Family,ko,2005-06-09,102.0,,8109834393.0,,,,['코미디'],"[""(주)두사부필름"", ""(주)쇼박스"", ""(주)아이엠픽쳐스"", ""(주)쇼박스"", ""세방현상(주)"", ""(사)한국농아인협회"", ""한국시각장애인연합회""]","[""KR""]",2005,6,1288602.0
20050135,분홍신,The Red Shoes,ko,2005-06-30,103.0,,6639066500.0,,,,['공포(호러)'],"[""청년필름(주)"", ""씨네클릭 아시아(팬텀)"", ""아이앤코스모스(주)시네와이즈필름"", ""(주)쇼박스"", ""소빅창업투자(주)"", ""(주)쇼박스"", ""씨네클릭 아시아(팬텀)"", ""씨네클릭 아시아(팬텀)"", ""세방현상(주)"", ""(사)한국농아인협회"", ""한국시각장애인연합회""]","[""KR""]",2005,6,1052445.0
20050110,연애의 목적,Rules Of Dating,ko,2005-06-10,121.0,,9639268390.0,,,,"['드라마', '코미디', '멜로/로맨스']","[""(주)싸이더스"", ""씨제이엔터테인먼트"", ""씨제이엔터테인먼트"", ""세방현상(주)"", ""서울영상위원회""]","[""KR""]",2005,6,1493211.0
20050142,여고괴담 4 : 목소리,The Voice,ko,2005-07-15,104.0,,2452349500.0,,,,['공포(호러)'],"[""(주)씨네이천"", ""(주)시네마서비스"", ""(주)시네마서비스"", ""씨제이엔터테인먼트"", ""㈜블루캡""]","[""KR""]",2005,7,393569.0
20050141,천군,Heaven’s Soldiers,ko,2005-07-15,106.0,,5827457500.0,,,,['액션'],"[""(주)싸이더스"", ""(주)쇼박스"", ""(주)쇼박스"", ""(주)쇼박스"", ""㈜라이브톤"", ""세방현상(주)"", ""유영분장""]","[""KR""]",2005,7,929044.0
20050148,친절한 금자씨,Sympathy for Lady Vengeance,ko,2005-07-29,112.0,,20215625393.0,,,,['스릴러'],"[""모호필름"", ""씨제이엔터테인먼트"", ""씨제이엔터테인먼트"", ""㈜블루캡"", ""세방현상(주)"", ""(사)부산영상위원회"", ""서울영상위원회"", ""(사)한국농아인협회"", ""한국시각장애인연합회""]","[""KR""]",2005,7,3079279.0
20050160,가발,The wig,ko,2005-08-12,106.0,,2575393000.0,,,,['공포(호러)'],"[""코리아 엔터테인먼트"", ""씨제이엔터테인먼트"", ""씨제이엔터테인먼트"", ""㈜라이브톤"", ""세방현상(주)""]","[""KR""]",2005,8,409483.0
20050178,박수칠 때 떠나라,"Murder, Take One",ko,2005-08-11,115.0,,13118633500.0,,,,"['드라마', '코미디', '미스터리']","[""(주)어나더썬데이"", ""(주)시네마서비스"", ""(주)시네마서비스"", ""씨제이엔터테인먼트"", ""㈜라이브톤"", ""(사)한국농아인협회"", ""한국시각장애인연합회""]","[""KR""]",2005,8,2063656.0
20050180,웰컴 투 동막골,Welcome To Dongmakgol,ko,2005-08-04,133.0,,40180937500.0,,,,"['전쟁', '드라마']","[""필름있수다"", ""(주)쇼박스"", ""(주)쇼박스"", ""(주)쇼박스"", ""소빅창업투자(주)"", ""(주)쇼박스"", ""씨 47"", ""(사)한국농아인협회"", ""한국시각장애인연합회""]","[""KR""]",2005,8,6413223.0
20050189,"이대로, 죽을 순 없다(Short Time)",Short Time,ko,2005-08-18,106.0,,4189421000.0,,,,['코미디'],"[""(주)매쉬필름"", ""쇼이스트(주)"", ""쇼이스트(주)"", ""엠라인디스트리뷰션(주)"", ""세방현상(주)"", ""(사)부산영상위원회"", ""서울영상위원회""]","[""KR""]",2005,8,666913.0
20050190,첼로-홍미주 일가 살인사건,Cello,ko,2005-08-18,94.0,,953072000.0,,,,['공포(호러)'],"[""탁함 필름"", ""(주)튜브엔터테인먼트"", ""소빅창업투자(주)"", ""(주)나이너스엔터테인먼트""]","[""KR""]",2005,8,153169.0
20050219,가문의 위기,Marrying the Mafia 2: Enemy-in-Law,ko,2005-09-07,115.0,,28485712000.0,,,,['코미디'],"[""(주)태원엔터테인먼트"", ""(주)쇼박스"", ""(주)쇼박스"", ""(주)쇼박스"", ""세방현상(주)"", ""플러스 액션 스턴트팀"", ""(사)한국농아인협회"", ""한국시각장애인연합회""]","[""KR""]",2005,9,4508292.0
20050233,강력 3반,Never to Lose,ko,2005-09-29,111.0,,4939380000.0,,,,['액션'],"[""(주)씨네넷"", ""롯데쇼핑㈜롯데엔터테인먼트"", ""롯데쇼핑㈜롯데엔터테인먼트"", ""(주)미로비젼"", ""모네프(주)""]","[""KR""]",2005,9,808897.0
20050239,너는 내 운명,You Are My Sunshine,ko,2005-09-23,121.0,,17382891000.0,,,,['멜로/로맨스'],"[""(주)영화사봄"", ""씨제이엔터테인먼트"", ""(주)화인컷"", ""㈜블루캡"", ""세방현상(주)"", ""서울영상위원회""]","[""KR""]",2005,9,2659825.0
20050237,미스터 주부퀴즈왕,Mr. Housewife,ko,2005-09-30,107.0,,1972572000.0,,,,['코미디'],"[""폴스타엔터테인먼트"", ""(주)쇼박스"", ""(주)쇼박스"", ""(주)쇼박스"", ""세방현상(주)"", ""(사)한국농아인협회"", ""한국시각장애인연합회""]","[""KR""]",2005,9,315370.0
20050245,사랑니,Blossom Again,ko,2005-09-29,115.0,,843448500.0,,,,['멜로/로맨스'],"[""(주)시네마서비스"", ""(주)시네마서비스"", ""(주)시네마서비스"", ""씨제이엔터테인먼트"", ""㈜블루캡"", ""서울영상위원회""]","[""KR""]",2005,9,131646.0
20050220,외출,April Snow,ko,2005-09-07,105.0,,4292733000.0,,,,['멜로/로맨스'],"[""블루스톰(주)"", ""쇼이스트(주)"", ""쇼이스트(주)"", ""엠라인디스트리뷰션(주)"", ""㈜라이브톤""]","[""KR""]",2005,9,665420.0
20050216,형사 Duelist,The Duelist,ko,2005-09-08,113.0,,5716642500.0,,,,"['멜로/로맨스', '액션']","[""웰메이드엔터테인먼트"", ""코리아픽쳐스(주)"", ""미시간벤처캐피탈(주)"", ""코어스튜디오(주)"", ""(주)브이에이스튜디오"", ""세방현상(주)"", ""플러스 액션 스턴트팀""]","[""KR""]",2005,9,900483.0
20050232,내 생애 가장 아름다운 일주일,All For Love,ko,2005-10-07,129.0,,14576101500.0,,,,['멜로/로맨스'],"[""(주)두사부필름"", ""(주)수필름"", ""씨제이엔터테인먼트"", ""씨제이엔터테인먼트"", ""㈜라이브톤"", ""모네프(주)"", ""세방현상(주)""]","[""KR""]",2005,10,2269939.0
20050256,새드무비,Sad Movie,ko,2005-10-20,108.0,,5536840500.0,,,,['드라마'],"[""(주)아이필름홀딩스"", ""롯데쇼핑㈜롯데엔터테인먼트"", ""아이러브시네마"", ""롯데쇼핑㈜롯데엔터테인먼트"", ""소빅창업투자(주)"", ""(주)아이에이치큐"", ""세방현상(주)"", ""(사)한국농아인협회"", ""한국시각장애인연합회""]","[""KR""]",2005,10,886670.0
20050261,야수와 미녀,The Beast and the Beauty,ko,2005-10-27,101.0,,8256875000.0,,,,['코미디'],"[""시오필름(주)"", ""(주)쇼박스"", ""(주)쇼박스"", ""(주)쇼박스"", ""(주)나인앤미디어"", ""세방현상(주)"", ""빔필름 (엠버에이치엠 국내법인)""]","[""KR""]",2005,10,1320043.0
20050271,오로라 공주,Princess Aurora,ko,2005-10-27,106.0,,4998821500.0,,,,"['범죄', '스릴러']","[""(주)이스트필름"", ""(주)시네마서비스"", ""씨제이엔터테인먼트"", ""㈜라이브톤"", ""세방현상(주)"", ""(사)부산영상위원회"", ""서울영상위원회""]","[""KR""]",2005,10,774324.0
20050292,광식이 동생 광태,When Romance Meets Destiny,ko,2005-11-23,104.0,,12768581009.0,,,,['코미디'],"[""(주)엠케이픽처스 "", ""(주)엠케이픽처스 "", ""(주)리틀빅픽쳐스"", ""(주)명필름"", ""㈜블루캡"", ""디지털스튜디오투엘(주)""]","[""KR""]",2005,11,2018197.0
20050305,나의 결혼원정기,My Wedding Campaign,ko,2005-11-23,123.0,,3859676500.0,,,,['드라마'],"[""튜브픽쳐스(주)"", ""롯데쇼핑㈜롯데엔터테인먼트"", ""롯데쇼핑㈜롯데엔터테인먼트"", ""(주)미로비젼"", ""고일상사"", ""세방현상(주)""]","[""KR""]",2005,11,632473.0
20050288,무영검,Shadowless Sword,ko,2005-11-18,104.0,,3293824500.0,,,,['액션'],"[""(주)태원엔터테인먼트"", ""씨제이엔터테인먼트"", ""뉴라인코리아"", ""세방현상(주)""]","[""KR""]",2005,11,517660.0
20050280,미스터 소크라테스,Mr. Socrates,ko,2005-11-10,109.0,,6746152000.0,,,,['액션'],"[""㈜커리지필름"", ""(주)오죤필름"", ""롯데쇼핑㈜롯데엔터테인먼트"", ""롯데쇼핑㈜롯데엔터테인먼트"", ""(주)미로비젼"", ""영화진흥위원회"", ""(사)부산영상위원회"", ""서울영상위원회""]","[""KR""]",2005,11,1063012.0
20050276,"사랑해, 말순씨","Bravo, My Life",ko,2005-11-03,92.0,,2034973500.0,,,,['드라마'],"[""블루스톰(주)"", ""쇼이스트(주)"", ""쇼이스트(주)"", ""엠라인디스트리뷰션(주)"", ""㈜라이브톤""]","[""KR""]",2005,11,323670.0
20050283,"소년, 천국에 가다",A Boy Who Went To Heaven,ko,2005-11-11,114.0,,1221924500.0,,,,['드라마'],"[""(주)싸이더스"", ""(주)크리스마스엔터테인먼트"", ""㈜렛츠필름"", ""(주)쇼박스"", ""영화사청어람(주)"", ""영화사청어람(주)"", ""(주)쇼박스"", ""(주)크리스마스엔터테인먼트"", ""영화사청어람(주)"", ""(주)케이티알파"", ""(사)부산영상위원회""]","[""KR""]",2005,11,201269.0
20050318,6월의 일기,Bystanders,ko,2005-12-01,106.0,,3643223500.0,,,,"['드라마', '범죄']","[""(주)필름앤픽쳐스 "", ""(주)쇼박스"", ""코어스튜디오(주)""]","[""KR""]",2005,12,593396.0
20050306,애인,The Intimate,ko,2005-12-08,98.0,,612396000.0,,,,['멜로/로맨스'],"[""기획시대(주)"", ""(주)쇼박스"", ""소빅창업투자(주)"", ""(주)쇼박스"", ""(주)쇼박스"", ""(주)나인앤미디어""]","[""KR""]",2005,12,96465.0
20050333,왕의 남자,King and the Clown,ko,2005-12-29,119.0,,65866410400.0,,,,['드라마'],"[""(주)씨네월드"", ""(주)이글픽쳐스"", ""(주)시네마서비스"", ""(주)시네마서비스"", ""씨제이엔터테인먼트"", ""히스토리 디앤피"", ""이펙트스톰""]","[""KR""]",2005,12,10489308.0
20050330,작업의 정석,The Art Of Seduction,ko,2005-12-21,100.0,,11660380100.0,,,,['코미디'],"[""영화사청어람(주)"", ""(주)쇼박스"", ""영화사청어람(주)"", ""(주)쇼박스"", ""영화사청어람(주)"", ""(주)케이티알파"", ""(주)나인앤미디어"", ""무비클로저""]","[""KR""]",2005,12,1846581.0
20050342,청연,Blue Swallow,ko,2005-12-29,133.0,,3007402400.0,,,,['드라마'],"[""코리아픽쳐스(주)"", ""코리아픽쳐스(주)"", ""씨네클릭 아시아(팬텀)"", ""모네프(주)"", ""세방현상(주)""]","[""KR""]",2005,12,480760.0
20050326,태풍,Typhoon,ko,2005-12-14,125.0,,22114691300.0,,,,"['드라마', '액션']","[""씨제이엔터테인먼트"", ""씨제이엔터테인먼트"", ""씨제이엔터테인먼트"", ""㈜라이브톤"", ""세방현상(주)"", ""빔필름 (엠버에이치엠 국내법인)""]","[""KR""]",2005,12,3456331.0
20050332,파랑주의보,My Girl and I,ko,2005-12-22,95.0,,1436262000.0,,,,['드라마'],"[""(주)아이필름홀딩스"", ""아이러브시네마"", ""(주)아이에이치큐""]","[""KR""]",2005,12,234338.0
20050354,사랑을 놓치다,Lost In Love,ko,2006-01-26,118.0,,2896581000.0,,,,"['멜로/로맨스', '드라마']","[""(주)시네마서비스"", ""(주)시네마서비스"", ""(주)시네마서비스"", ""씨제이엔터테인먼트"", ""데몰리션""]","[""KR""]",2006,1,458517.0
20050346,싸움의 기술,The Art Of Fighting,ko,2006-01-05,95.0,,7100516000.0,,,,['코미디'],"[""코리아 엔터테인먼트"", ""씨제이엔터테인먼트"", ""씨제이엔터테인먼트"", ""씨제이엔터테인먼트"", ""데몰리션"", ""세방현상(주)""]","[""KR""]",2006,1,1110115.0
20050345,야수,Running Wild,ko,2006-01-12,124.0,,5326031000.0,,,,['액션'],"[""팝콘필름㈜"", ""(주)쇼박스"", ""(주)쇼박스"", ""(주)쇼박스"", ""㈜라이브톤"", ""세방현상(주)""]","[""KR""]",2006,1,834937.0
20050363,투사부일체,"My Boss, My Teacher",ko,2006-01-19,125.0,,31474767000.0,,,,['코미디'],"[""(주)시네마제니스 "", ""씨제이엔터테인먼트"", ""씨제이엔터테인먼트"", ""(사)부산영상위원회""]","[""KR""]",2006,1,4997745.0
20050349,홀리데이,Holiday,ko,2006-01-19,116.0,,7248315000.0,,,,"['드라마', '스릴러', '범죄']","[""(주)현진씨네마"", ""롯데쇼핑㈜롯데엔터테인먼트"", ""롯데쇼핑㈜롯데엔터테인먼트"", ""롯데쇼핑㈜롯데엔터테인먼트"", ""㈜라이브톤"", ""데몰리션""]","[""KR""]",2006,1,1155175.0
20060019,구세주,Oh! My God,ko,2006-02-16,104.0,,10032181200.0,,,,"['코미디', '액션', '멜로/로맨스']","[""㈜익영영화"", ""쇼이스트(주)"", ""쇼이스트(주)"", ""쇼이스트(주)"", ""(주)나인앤미디어"", ""데몰리션"", ""서울현상소""]","[""KR""]",2006,2,1612280.0
20060015,백만장자의 첫사랑,A Millionaire’s First Love,ko,2006-02-09,116.0,,3213511000.0,,,,"['멜로/로맨스', '코미디']","[""(주)에스씨에스엔터테인먼트"", ""롯데쇼핑㈜롯데엔터테인먼트"", ""롯데쇼핑㈜롯데엔터테인먼트"", ""롯데쇼핑㈜롯데엔터테인먼트""]","[""KR""]",2006,2,535371.0
20060025,손님은 왕이다,The Customer Is Always Right,ko,2006-02-23,104.0,,914385700.0,,,,"['드라마', '범죄', '미스터리']","[""조우필름(주)"", ""(주)시네마서비스"", ""(주)시네마서비스"", ""씨제이엔터테인먼트""]","[""KR""]",2006,2,143128.0
20050355,음란서생,Forbidden Quest,ko,2006-02-23,139.0,,14900783300.0,,,,"['사극', '코미디']","[""(주)영화사비단길"", ""씨제이엔터테인먼트"", ""(주)아이엠픽쳐스"", ""씨 47"", ""세방현상(주)""]","[""KR""]",2006,2,2297550.0
20060017,흡혈형사 나도열,"Vampire Cop, Ricky",ko,2006-02-09,110.0,,9667183800.0,,,,"['코미디', '드라마']","[""영화사청어람(주)"", ""(주)에스엠필름"", ""(주)쇼박스"", ""영화사청어람(주)"", ""(주)아이엠픽쳐스"", ""(주)쇼박스"", ""영화사청어람(주)"", ""(주)케이티알파""]","[""KR""]",2006,2,1559301.0
20050350,데이지,Daisy,ko,2006-03-09,110.0,,5694319300.0,,,,['멜로/로맨스'],"[""(주)아이필름홀딩스"", ""베이직픽쳐스"", ""(주)쇼박스"", ""(주)아이에이치큐""]","[""KR""]",2006,3,901868.0
20060047,로망스,Romance,ko,2006-03-16,106.0,,2108073300.0,,,,['멜로/로맨스'],"[""(주)엘제이필름"", ""씨제이엔터테인먼트"", ""씨제이엔터테인먼트"", ""세방현상(주)""]","[""KR""]",2006,3,328911.0
