movie_id,title,original_title,original_language,release_date,runtime,budget,revenue,vote_average,vote_count,popularity,genres,production_companies,production_countries,release_year,release_month
91239,커플즈,커플즈,ko,2011-11-02,110,0,0,6.9,9,0.9217,"['코미디', '로맨스']","['M-Line Distribution', 'iMBC', 'Barunson E&A', 'Sidus', 'Sio Film']",['KR'],2011.0,11.0
91596,댄싱퀸,댄싱퀸,ko,2012-01-18,124,0,0,6.308,26,1.7189,"['로맨스', '드라마', '코미디']","['CJ Entertainment', 'JK Film']",['KR'],2012.0,1.0
91623,헬로우 마이 러브,헬로우 마이 러브,ko,2009-10-08,95,0,0,6.0,11,0.2658,"['코미디', '로맨스']",['Aim High Pictures'],['KR'],2009.0,10.0
91993,짐승,짐승,ko,2011-07-28,93,0,0,6.1,5,0.5935,"['액션', '스릴러']",['플랫폼픽쳐스'],['KR'],2011.0,7.0
92038,티끌모아 로맨스,티끌모아 로맨스,ko,2011-11-10,114,0,0,6.8,41,0.6328,"['로맨스', '코미디']",['Filament Pictures'],['KR'],2011.0,11.0
92324,방가? 방가!,방가? 방가!,ko,2010-09-30,110,0,0,5.8,6,0.7178,"['코미디', '로맨스']","['Showbox', 'Cinergy House', 'Daisy Entertainment']",['KR'],2010.0,9.0
92488,동갑내기 과외하기 레슨 II,동갑내기 과외하기 레슨 II,ko,2007-04-19,125,0,0,6.0,20,1.7338,"['코미디', '로맨스']","['Prime Entertainment', 'CJ Entertainment']",['KR'],2007.0,4.0
92499,오싹한 연애,오싹한 연애,ko,2011-12-01,114,0,0,7.5,201,1.5218,"['공포', '코미디', '판타지', '로맨스']","['Sang Sang Film', 'CJ Entertainment']",['KR'],2011.0,12.0
92507,네버엔딩 스토리,네버엔딩 스토리,ko,2012-01-18,114,0,0,5.9,11,1.4399,"['드라마', '로맨스']","['9ers Entertainment', 'Hwa&Dam Pictures']",['KR'],2012.0,1.0
92513,김관장 대 김관장 대 김관장,김관장 대 김관장 대 김관장,ko,2007-02-08,103,0,0,5.9,16,0.8595,"['코미디', '액션']",['Taewon Entertainment'],['KR'],2007.0,2.0
